,text,n_tokens
0," 146505813 CMS+1500+02+12+Form+At+A+Glance#Box 9a   Other Insured's Policy or Group Number. CMS 1500 (02/12) Form At A Glance - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskLedger and ClaimsCMS 1500 (02/12) Form At A GlanceCMS 1500 (02/12) Form At A GlanceDylan NighOwned by Dylan NighLast updated: Mar 01, 202422 min readLoading data...This article covers all the fields present within the CMS 1500 Claim Form. We’ll cover each numbered box and how the information pulls in from MacPractice, and the steps needed to pull information in the software, where it is appropriate and correct to do so.Open A sample CMS-1500 form.",193
1,"By extracting and double clicking on them, you can import them into your MP Server. Open Open Insurance Company and Address InformationInsurance Company and Address information is typically printed above the first boxes on the top margin of the claim.Open If there is no Insurance Plan selected in Patients > Primary/Secondary > Insurance, the Insurance Address information is pulled from the Insurance Company's reference in References > Insurance Companies > Company Info.If there is an Insurance Plan selected in Patients > Primary/Secondary > Insurance, the Insurance Address information is pulled from the Plan Demographics in References > Insurance Companies > Plans > Demographic.Box 1 - Plan TypeInformation is populated in this box based on Plan Type of the patient's insurance.The Plan Type is set in the Insurance Company Reference, however it pulls from different areas depending on whether or not the patient has a plan set for their insurance.Go to the Primary or Secondary screen and check if there is a plan assigned to the insurance carrier. If there is no plan assigned to the insurance If the Plan pop-up menu is set to ""None"", box 1 is controlled by the Plan Type pop-up menu in the Company Info tab of the Insurance reference. You can find this by going to the References ability, expanding the Insurance Companies node in the sidebar, then selecting the company in question, or by double-clicking the insurance in the Primary or Secondary screen. If there is a plan assigned to the insurance.If the Plan pop-up menu is set to anything other than ""None"" box 1 is controlled by the Plan Type pop-up menu in the Plan reference. You can find this by going to the References ability, expanding the Insurance Companies node in the sidebar, selecting the company in question, then selecting the Plan Type pop-up menu on the Coverage tab.",357
2,"Make sure you have the correct plan selected.You can also access the plan information by double-clicking the insurance in the Primary or Secondary screen.The Medicare Part B plan type will check the Medicare box.The Medicaid plan type will check the Medicaid box.The Champus plan type will check the Tricare Champus box.The Veteran Administration Plan plan type will check the ChampVA box.The Preferred Provider Organization (PPO), Exclusive Provider Organization (EPO), and the Health Maintenance Organization (HMO) plan types will all check the Group Health Plan box.The Other Federal Program plan type will check the FECA Black Lung box.All other plan types will check the Other box.Box 1a - Subscriber ID NumberThis information comes from the Subscriber ID field in the Insurance tab of the Patient screen.The patient subscriber ID will be entered automatically from the guarantor's subscriber ID on the Primary or Secondary screen.This information can be overridden on a per-patient basis under the Insurance tab in the Patient screen. Once you override the patient's subscriber ID the link between the patient's subscriber ID field and the guarantor's subscriber ID field will be broken; if you change any of these fields, MacPractice will not automatically update the other. To restore this broken link, delete the subscriber ID numbers from both the Subscriber ID field under the Insurance tab in the Patient screen and the Subscriber ID field of the insurance on the Primary or Secondary screen, save and then reenter the numbers on the Primary or Secondary screen.Box 2 - Patient NameThis field pulls from the First, Middle, and Last name fields in Patient view.Box 3 - Patient Date of BirthThis box populates from the Birth Date field and Sex menu in Patient view. Selecting Unknown in the Sex menu will leave the patient's sex box without selection.Box 4 - Insured's NameThis field pulls from Relationship to Primary or Secondary menu in Patient view. If the patient's relationship to the guarantor is set to Self, then the word SAME is printed in Box 4.",421
3,"Otherwise, the guarantor's First, Middle, and Last name fields in Primary or Secondary view will be printed in Box 4.If your plan type on the insurance company reference is set to Medicaid, the word “Same” is printed in Box 4 no matter what the patient’s relationship to the guarantor is.If this is a Worker's Compensation Claim, there are specific steps that must be taken. Refer to the Creating Worker's Comp Claims in MacPractice article for more information.Box 5 - Patient's AddressInformation is populated from the patient's Street Address, Suite/Apt. Number, City, State, and Zip Code fields in the Patient screen. The phone number will be populated from the first listed phone number set to the Home phone type.Box 6 - Patient Relationship to InsuredThis information comes from the patient's Relationship to Primary and Secondary pop up menu in the Patient screen. Please be aware that the Relationship to Primary is the relationship to the person on the Primary screen, not necessarily the relationship to the cardholder for the primary insurance, and so on.Box 7 - Insured's AddressThis information will populate differently, depending on the patient's relationship to the guarantor.If the patient's relationship to the guarantor is set to Self, then Box 4 will print the word ""Same"" and Box 7 will be blank. Otherwise, the guarantor's Street Address, Suite / Apt. Number, City, State, and Zip code fields in the Primary or Secondary screen will be printed. The phone number will be populated from the first listed phone number set to the Home phone type.There are two exceptions to this rule:If the plan type is set to Medicaid, then Same will be printed in Box 4 and Box 7 is left blank.If the relationship is set to Self and the plan type is Medicare, Box 4 will print the word ""Same"" and so will Box 7.If this is a Worker's Compensation Claim, there are specific steps that must be taken.",405
4,"Refer to the Creating Worker's Comp Claims in MacPractice article for more information.Box 8 - RESERVED FOR NUCC USEThis box is not populated by MacPractice and should remain blank.Box 9 - Other Insured's NameInformation is populated by the Other Insurance pop up menu in the Claim Creation window.If the Other Insurance menu is set to None, then Box 9, 9a, and 9d will be blank.If the Other Insurance is set with the patient's other insurance, then Box 9 will pull the First, Middle and Last name fields for the insurance cardholder for the selected insurance.If the Primary Insurance is Medicare, box 9 will print blank unless there is a MEDIGAP number entered in the secondary Insurance Reference.Box 9a - Other Insured's Policy or Group NumberInformation is populated by the Subscriber ID field on the associated insurance on the patient's insurance tab.CMS 1500 (02/12) Box 9b - RESERVED FOR NUCC USEThis box is not populated by MacPractice and should remain blank. CMS 1500 (02/12) Box 9c - RESERVED FOR NUCC USEThis box is not populated by MacPractice and should remain blank.Box 9d - Insurance Plan NameThis information comes from the Insurance Company name field for the Other Insurance.Box 10a, 10b, and 10cThis information is pulled from the Reason for Treatment tab which is found under the Incident tab of the Incident itself. If the Condition Related To menu is set to Auto Accident, the Accident State and Accident Date fields will turn red indicating that this information is required.Box 10d - Claim Codes (Designated by NUCC)This box is generally blank.If the patient has Medicare as a primary and Medicaid as a secondary, this box will be filled with MCD and their subscriber ID. To verify this information, go to the patient's Insurance tab to see the insurance information. There is not a way for MacPractice to customize this information on the claim.Box 11 - Insured's Policy Group NumberThis box will print None if patient has Medicare as the primary insurance and the plan type is set to Medicare Part B, regardless of whether there is a secondary insurance.Information is populated if the primary insurance plan type is not set to Medicare Part B. This information pulls from the guarantor's Group Number field.",483
5,"If an employer is selected in the menu, this is copied from the Group Number field in the Employer table.Box 11a - Insured's Date of Birth and SexThis box populates from the Birth Date field and Sex menu for the guarantor associated to the primary insurance.Box 11b - Other Claim ID (Designated by NUCC)This information is not populated by MacPractice and must be manually entered, if required.Box 11c - Insurance Plan NameInformation is populated by the Insurance Carrier Name that is listed in the Insurance Company Reference, for the insurance under the guarantor's insurance information.Box 11d - Other Insurance CheckboxIf the patient has Medicare and no other insurance, the boxes will remain unchecked.If the patient has only one insurance that is not Medicare, the No box will be selected.If the patient has more than one insurance, the Yes box will be selected.Box 12 - Release of InformationThis box populates from the guarantor's information on the Primary or Secondary screen by selecting the Release of Information (box 12) checkbox.""PATIENT'S OR AUTHORIZED PERSON'S SIGNATURE I authorize release of medical or other information necessary to process the claim. I also request payment of government benefits either to myself or to the party who accepts assignment below.""Box 13 - Signature on FileThis box populates from the guarantor's information in Primary or Secondary view by selecting the Signature on File (box 13) checkbox.This is the indicator that determines whether insurance benefits are to be received by the Provider or by the Patient. If checked, the benefits will be assigned to the provider. If unchecked, the benefits will be assigned to the patient.It says:""INSURED'S OR AUTHORIZED PERSON'S SIGNATURE I authorize payment of medical benefits to the undersigned physician or supplier of services described below.""Box 14 - Date of Illness, Injury, or Pregnancy (LMP)This box pulls from the Incident and will pull from a few different places, depending on the reason for treatment.For an Illness Navigate to Incident > Claims > Symptom Dates > First Symptom Date.(If on DDS, you'll navigate to the ""CMS Claims"" tab instead of Claims. If you don't see this tab, check Preferences > Ledger > Incident to enable ""Display both CMS and ADA Claim View"" and restart MacPractice.)Fill out the date, and then set the ""First Symptom Date Type"" to ""Illness"".",493
6,"The First Symptom date will pull to box 14 and print ""431"" in the Qual. box. This method requires that you utilize the CMS 02/12 form.For an InjuryNavigate to Incident > Incident Tab, then select the ""Reason for Treatment"" sub-tab. The date of injury pulls from Incident > Incident tab > Reason for Treatment > Accident Date > Condition Related To. Select a Condition Related to, then mark down the Accident Date. Depending on the option marked, box 10 may be checked for the appropriate options.For a date of pregnancy Navigate to Incident > Claims > Symptom Dates. When Last Menstrual Period is selected in the First Symptom menu, the First Symptom date will pull to box 14 and ""484"" will print in the Qual box.Box 15 - Other DateThis information pulls from Incident > Claims > Symptom Dates > Other Date. A First Symptom Date and First Symptom Date Type other than Routine Services must be present before the Other Date will pull into Box 15.Information will not pull into this field if ""Auto Accident"" is set in the ""Condition Related To"" drop down menu in the Reason for Treatment tab of an Incident.If you are needing qualifier 439 to pull into this field, you'll need to have a First Symptom Date entered, and ""Illness"" or ""Last Menstrual Period"" selected for the First Symptom Type in the Claims Tab of an Incident, under the ""Symptom Dates"" sub tab. You'll also need an ""Other Date"", with the ""Other Date Type"" set to ""Accident"".Box 16 - Disability DatesThis information pulls from Incident > Claims > Disability > Begin Date field under the Partial and Total disability. Enter an End Date, if necessary.Box 17 - Name of Referring ProviderThis is pulled based on the Referral listed in the charge window.Referrals can either be added on a per-charge basis, or you can add them to the Incident, which will cause the referral to pull to all the charges posted under that incident.The ""Use on Claim"" checkbox in the Referral Reference must be checked for it to pull to the claim.A two digit qualifier will pull into box 17.",454
7,"This qualifier is designated by the Referral Type selected in the New Charge Window.The qualifiers are:DN - Referring ProviderDK - Ordering ProviderDQ - Supervising ProviderBox 17a - Referring Provider Legacy NumberThis information will only be only be pulled to the CMS 1500 (02/12) NPI and Legacy form. The information is pulled from the Legacy Referral Qualifier Code menu found under the Claims tab of the Insurance Company Reference.The Plan Type in the Claims tab should also be set to either a Medicaid or Medicare type.The Legacy number will then be pulled from the Referrals Reference under the Provider IDs tab and the related field (such as Medicare, Medicaid, and so on).Box 17b - Referring Provider NPI NumberThis field pulls from the National Provider ID (NPI) field found under the Provider IDs tab of the Referral Reference. This information will populate this field when the Referral is entered in the charge window.Box 18 - Hospital Admission and Discharge DatesThis box pulls from the Admitted Date and Discharge Date fields in the charge window when a facility is added.Facilities can be added on a per-charge basis, they can be added to the fee in the fee schedule to pull in each time that fee is used in the charge window, or it can be added to the Incident, which will cause the facility to populate to all the charges posted under that incident.Box 19 - Additional Claim InformationThis box pulls from Box 19 on Insurance Claim Form found under the Incident tab of the Incident.Box 20 - Outside Lab CheckboxThis box will default to No.This box populates from the charge window when the Type of Service menu is set to Diagnostic Lab, a Lab is entered, and information is entered in the Lab Costs field, if necessary.A lab can also be added to the fee in the fee schedule to pull in each time that fee is used in the charge window.Box 21 - ICD Indicator and Diagnosis FieldsThe ICD Ind. box identifies the version of the ICD code set used and is determined by the code type of the diagnosis codes themselves.",434
8,"ICD-9-CM codes will display a 9 within the box, while ICD-10-CM codes will display a 0.The diagnosis codes within box 21 pull from the Diagnosis fields under the diagnosis tab in the charge window.Diagnoses can also be pulled in when Use in Procedures is selected in the Problem List in Clinical view.Diagnoses can also be added to the fee in the Fee Schedule to pull in each time the fee is used in the charge window.Note: In the case of Treatment Plans, it is important to note that when a Treatment Plan is created and then moved to Transactions, the treatments in said treatment plan will contain the diagnosis codes that were linked when the treatment plan was created.If your office creates treatment plans weeks or even months in advance for patients before moving them into transactions, it is important to review all charges to ensure the linked diagnosis codes are the correct ones.Box 22 - ResubmissionThe default CMS 1500 form does not pull this information in automatically. Offices may choose to write this in by hand, or update their CMS Form Reference to a custom Form that allows you to type this information in when generating a claim. This Custom CMS 1500 with resubmission fields is included here:Open This Custom form pulls in the Resubmission Code and Resubmission Reference fields from the Claim Creation Window, on the far right of the claim creation table as shown in the below screenshot.Box 23 - Prior Authorization NumberThe provider's CLIA number will print in this box if the Type of Service is set to Diagnostic Lab, and the correct number is entered in the CLIA field on the Provider IDs tab > Claim Credentials sub-tab of the User Reference.The patient must have an Insurance Plan selected. They must also have the Plan Type set to Medicare Part B in the Patient's Insurance Company Reference > Plans Tab.For other claim types: This information is populated into the claim when an insurance requires a Prior Authorization number.",398
9,"It is pulled from the Prior Authorization number entered and insurance pop-up menu selected on the Prior Auth tab of the Incident.There must also be at least 1 remaining visit left, the prior authorization number must be selected in the insurance claim creation window from the Prior Auth pop-up menu, and a start Date must be entered for the prior authorization to pull onto the CMS form.If there is not a Prior Auth number selected, the form will print NONE.If the office is trying to submit a claim to Medicare, with the Type of Service set to Diagnostic Lab, and there is a Prior Auth entered on the Incident, the CLIA number will override the Prior Auth.Box 24a - Dates of Service and Prescription InformationThe shaded area for this box is populated when a prescription has been associated to a charge. There will be an N4, the NDC number for the medication, brand name of the medication, and the measurement printed in this area of the form. The prescription can be added to the charge on the Rx tab in the charge window or a medication can be associated to a fee in the Fee Schedule Reference located in the Medication table under the Speciality tab for the specific fee.The date(s) of service will be populated in the unshaded fields. This is pulled from the charge window Procedure Date field and the To Date field if populated.Box 24b - Place of ServiceThis field pulls from the Place of Service menu selection in the charge window.Box 24c - Emergency CheckboxThis box is blank by default. MacPractice will put a Y in this field if the Emergency checkbox is checked in the charge window.Box 24d - Procedure and Modifier CodesInformation is populated from the Code and Modifier fields in the charge window.Box 24e - Diagnosis PointersThis field populates based on the diagnosis codes that are entered on the diagnosis tab in the charge window. A letter (A-L) will print as a pointer to the related diagnosis code in box 21. Make sure that the primary diagnosis code is listed first in the charge window.If Medicare is the insurance, this box will only print a single diagnosis pointer.",426
10,"If there are multiple procedures on the claim that have different primary diagnosis, the pointer for the charge's primary diagnosis will pull into this field.CMS 1500 (02/12) Box 24f - Charge AmountsInformation is populated from the Total Fee field in the charge window, which is determined by the fixed fee amount or by the number of units multiplied by the unit fee in the charge window.These fee amounts can be found in the Unit Fee field of the fee record in the Fee Schedule.Box 24g - Number of UnitsThis field pulls from the number entered in the Units field of the charge window.Box 24h - EPSDT/Family PlanningMacPractice will put an X in this box if the Family Planning checkbox or the EPSDT checkbox is selected on the Insurance tab in Patient view.Box 24i - Rendering Provider Legacy Qualifier CodeThis box will only populate when using the CMS 1500 (02/12) NPI and Legacy form AND the ""Leave 24 I/J Blank"" checkbox is unchecked in References > Insurance Companies > Claims Tab.This information pulls from the Qualifier Code (box 24) that is selected in the menu under the Provider IDs tab of the Insurance Company Reference. When this is set to ""Automatic"", the two digit code based on the Plan Type menu selection in the Insurance Company Reference will be printed.Box 24j - Rendering Provider NumbersThe shaded area for this box will only print when the CMS 1500 (02/12) NPI and Legacy form is used AND the ""Leave 24 I/J Blank"" checkbox is unchecked in References > Insurance Companies > Claims Tab. Information is pulled from the Paper ID field under the Provider IDs tab of the Insurance Company Reference.The unshaded area for this box is the Rendering Provider's NPI number. This information is pulled from the National Provider ID (NPI) field under the Claim Credentials tab inside the Provider tab under the User Reference.Box 25 - Tax IDThis field pulls from the information entered on the Federal or SSN field found under the Provider Numbers tab of the User Reference.",429
11,"The box for SSN or EIN will have an X in it based on the ""Provider Tax ID on Claims"" menu found under the Claim Credentials tab inside the Provider tab of the User Reference for the provider.This box also pulls from the Legacy Type Override menu under the Provider IDs tab of the Insurance Company Reference.Box 26 - Patient Account No.This information pulls from the Patient ID that is automatically assigned to each patient in MacPractice.Box 27 - Accepts AssignmentThis box pulls from the Accepts Assignment column in the Provider IDs tab of the Insurance Company Reference.Box 28 - Total ChargesThis information is pulled from the total fees included on the claim by adding the amounts for each entry in the Box 24f column.Box 29 - Amount PaidBy default this box will be blank.The information for a primary claim pulls from the Patient Paid checkbox under the Sum following in Box 29 HCFA for Primary Claims on the Company Info tab of the Insurance Company Reference. This will pull in the information from the patient payment applied to the charges on the claim.The information for a secondary claim comes from the Patient Paid checkbox, Primary Paid checkbox, and Insurance Write-off checkbox under the Sum the following in Box 29 HCFA for Secondary Claims on the Company Info tab of the Insurance Company Reference. For the secondary claims it will take the patient paid amount, the primary insurance paid amount and the write-off amounts, total them and put them in this box.Box 30 - Rsvd for NUCC UseThis box is not populated by MacPractice and should remain blank.Box 31 - Provider Signature and DateThis box populates from the Last, First, and Suffix fields under the User Reference for the provider.",343
12," 79495229. Note Templates Node - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskGeneral NavigationNote Templates NodeNote Templates NodeDylan NighOwned by Dylan NighLast updated: Sept 29, 20232 min readLoading data...The Note Templates node lets users generate custom documents like welcome letters, referral letters, or even simple progress notes for patients. This node appears in several abilities in MacPractice and works the same way throughout. There are a few options for printing Notes; however, certain fields only work when printing from a specific place, such as EMR narratives or appointment data.More information on the Notes ability can be found here.Note: We have updated the MacPractice software to shift the Lists in the drawer into a separate location. You can now find your Lists in the Lists Window, accessible from the Window Menu. You can read more about the changes in Build 11 here.Patients, Schedule & ListsIn the Patients and Schedule Abilities, print a single item for a patient by dragging and dropping the patient name or appointment onto the Note Template in the sidebar. Another method is to select the form and press the plus button on the top of the sidebar, with or without a patient selected, to create the document.Open Print content for a group of patients by using the drawer or a sidebar node. Create a list of patients manually or through the Make List button in a report. Then drag the list from the drawer, or an entire node from the sidebar, onto the title of the note. This will produce one note per patient, such as welcome letters for every new patient appointment.Open EHR, EMR & EDRThe narrative from provider forms can easily be transferred onto Note Templates to create items like referral letters. The EHR, EMR or EDR narratives can be used in a note template. Simply drag the selected completed patient form onto the note template. The note template must have the EHR pull field to work with the EHR template, or the EMR/EDR pull field to work with those abilities. {""serverDuration"": 19, ""requestCorrelationId"": ""1d2336ae3d384416b6965bef3f8e020a""}",483
13," 69337285. Patient Ability Preferences - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskPreferencesPatient Ability PreferencesPatient Ability PreferencesDylan NighOwned by Dylan NighLast updated: Oct 25, 20234 min readLoading data...The Patient Ability Preferences category contains options that customize behaviors in the Patients Ability.The Patients Ability Preferences are separated into five tabs. Let's explain the options in each tab in turn.1 General Tab2 Alerts Tab3 Insurance Tab4 Misc Tab5 Duplicate PatientsGeneral TabOpen Automatically Save Address and Phone Changes: This checkbox, if enabled, will allow saved changes to the Address or Phone Number to carry over and also save in the Patient Tab to the Primary and Secondary Tab. This will only occur IF the patient has the same name, AND the relationship is set to Self.Include Patient SSN on Patient Demographic Printout: If checked, this option will include the Patient's SSN on a printed Demographic Sheet. This option only applies if there's no Patient Form set in Preferences > Forms.Include Account Balance on Patient Demographic Printout: If checked, this option will include the Patient's Account Balance on a printed Demographic Sheet. This option only applies if there's no Patient Form set in Preferences > Forms.Set provider and office when entering new patient: This toggle allows you to adjust the behavior for the Provider/Office fields when creating a new patient. You can either choose to have the new patient pull from the Account's set Provider and Office if this is an existing account, or you can choose to have these fields pull from the Default Patient Record.Automatically Update Names: This checkbox, if enabled, will carry over a saved name from the Patient Tab into the Primary or Secondary Tab if the relationship for the patient is set to self.Automatically Load Patients in Sidebar:  When checked, the patients will load when the Patients node is selected in the sidebar.",402
14,"With this unchecked, you would normally have to use the Patient Selector to search for a given patient.Default Referral Category: This drop down will allow you to select the default Referral Category when adding a new Referral to the Patient Tab > Referrals Sub Tab.  Alerts TabOpen No Alert on Procedure Type Selection: When checked, this will suppress the alert that will appear when selecting a procedure type with no coverage set in the patient's Insurance Plan.Confirm Switching Insurance Plans: This option, when checked, will prompt the user to confirm whenever they change a patient's Insurance Plan in the Primary or Secondary Tab.Alert on Incomplete Coverage in Insurance plans:  This option, when checked, will display an alert when selecting a plan that has not had insurance coverage completely filled in.Show created date for patient alerts and allergies: This option, when checked, will show the created date of any patient alerts or allergy alerts in the alert window.Insurance Tab Show Related Insurance After Entering Employer: When this option is enabled, after entering an employer, any related insurance carriers will be shown automatically. When only one plan is tied with the employer and selected insurance, the plan will be set.Misc TabSearch for Patients With Names: This toggle allows you to adjust how the Patient Search feature functions. You can choose to have the search entry search for any instance where the entry matches a portion of a patient's name, or you can search for patients with a name that begins with the entry.On Patient Double Click: This toggle customizes the behavior when double clicking a patient in the sidebar. You can choose to have the Sidebar load all Patients in the same Account as the double clicked patient, you can have the Default Ability load up (which is set in Preferences > Window), or you can have the Inspector open on double click.Sidebar Views - Show Archived Patient Node in Sidebar: If checked, this option will display the Archived Patients node in the Sidebar.Sidebar Views: Show New Patients (Patients Without Charges/Treatments): This option, if checked, will display patients in the sidebar. that do not have charges or treatments on their ledger.Chart Number - Automatically Assign Chart Numbers: When checked, this option will assign a suffix chart number to the patient's Chart # field in the Patients Tab.",463
15," 72286245 Patients+Ability+ +Sidebar+Overview. Patients Ability - Sidebar Overview - MacPractice HelpDesk - Confluence SpacesAppsTemplatesCreateMacPractice HelpDeskAll contentCalendarsSpace settingsContentMacPractice HelpDeskPatients AbilityPatients Ability - Sidebar OverviewPatients Ability - Sidebar OverviewDylan NighOwned by Dylan NighLast updated: Oct 17, 20237 min readLoading data...Within the Patient Ability you will fine the Patient Sidebar on the left side of the MacPractice window. Within the sidebar you will find your list of your patients as well as the Find tool and Default record.1 Patient Labels2 Patient Search Bar3 Default Record4 Find5 Patients Node5.1 Adding a New Patient5.2 Adding a New Account5.3 Archiving and Deleting Patients6 Archived Node7 New Patient Node8 Forms Node9 Note Templates NodeOpen Patient LabelsIn the Label drop down there are 7 different colored labels that you can use to classify patients. Many offices use this as a quick indicator for insurance type, collection status, emergency cases, etc. The label names can be updated to fit your needs within Preferences > Labels.To assign a label to a patient, select their name within the sidebar, then simply select the label color within the drop down menu.Open Patient Search BarThere are a few methods for finding patient's within MacPractice, including the Patient Selector and Find function. In addition to those options a user can do a quick search of a Patient's Name or Account Number by using the Search Bar.Simply select the Patient, Archive, or New Patient Node in the sidebar and enter the information. Then click enter/return on your keyboard to start the search. The selected node will expand with the results of the search.For more information on searching/navigating the Patient Sidebar, visit our tutorial HERE. Default RecordWhen creating a new patient or account, the information listed in the Default record in the Patients sidebar will be added to the new record.The most common defaults are:Phone Numbers: You may wish to set the labels for each phone field; by default they are all set to Home but many office record this information in a specific order such as Mobile, Work, then Home.Provider, Office, Fee Schedule: Select the provider, office, and fee schedule that will pull to the New Charge window by default.",473
16,"If you have multiple providers, offices, or fee schedules, you may wish to leave these set to None to prevent new patients from being associated to the incorrect provider. You may also choose to turn on a preference to use the Account provider instead. In MacPractice DDS, there will also be a Preferred Hygienist field. This is for reference only, and is not used in charges or scheduling.Relationship to Primary/Secondary: This sets the default relationship between the person listed in the Patient tab and the person listed in the Primary tab. For most offices, this will be set to Self. Pediatric offices may wish to set this to Child. This relationship setting is based on relationship types allowed by Insurance Companies, as it will be the relationship within a claim generated for this patient.Note: These relationship defaults will not apply when creating a new patient via the schedule; when a patient is created by that method, the relationship to Primary/Secondary will always be set to Self.Signature on File/Release of Info: In the Primary/Secondary tabs, MacPractice suggests setting ""Signature on File"" and ""Release of Info"" to be checked by default under the Primary and Secondary tabs. However, this does not apply for all offices.Most fields can be set in the Default record. There are a few exceptions, including: Last Name, First Name, Middle, Prefix, Suffix, Maiden Name, Nickname, Social Security, Birth Date, Birth Time, and the New Patient Date. In addition to those fields, the Ledger and Orders tabs cannot be set in the Default record.FindWhen you select the Find node in the sidebar, you can enter your search criteria in the detail area to the right. Entering information in one of these fields will only search that specific field and will ignore all other fields. Enter your search criteria then press the return key on the keyboard. As you can see, typing John in the first name field on the patient's tab here will only pull up patients with a first name of John and no one elseUsing the Find node, you can also combine your search criteria or search by other identifiers than the name or account number.",446
17,"For example, you can search by birthdate, address, phone number, and social security number if you enter it then you can combine these with your name search or any other criteria/ There may be many John Smiths in your database, so you can search by the last name smith and the birthdate to find the right patient.Patients NodeThe Patient Node contains a list of all active patients in the database. The total number of patient records will display in the bottom center of the window.Double click on a patient’s name to show only that person and anyone in the same account. This will also display the patient name on the top of the toolbar for easy reference when moving through abilities. To reset the contents of the sidebar, click the refresh button at the top of the screen.For easy searching, show New Patients (patients without charges) and Archived Patients in the sidebar by setting up these Preferences.Adding a New PatientCreate a new patient (as opposed to a new account) when the party that will be financially responsible for the patient is already in the database. Select an existing member of the account in the sidebar, then click the plus button. An alert with three options: ""Cancel"", ""New Account"", ""New Patient"" appears; to add a new patient to the existing account, click the ""New Patient"" button. After selecting New Patient, a new entry will appear in the sidebar. The patient's address and last name will populate based on the address of other patients on the account. Enter the patient's first name (and other any necessary information), then save changes by going up to the Edit menu and choosing Save Record, or using the Command-S keyboard shortcut.The new patient will appear in the sidebar with the same account number as the previously selected patient, except the new patient will have a different last number (for example, 1234-2).Adding a New AccountTo create a new account in the Patient ability, click the green plus sign in the upper left corner of the MacPractice sidebar. If no patient is selected, a prompt will appear to create a New Account. Click ""New Account"" to continue. A New Account item will appear in the sidebar. The Last Name and First Name fields are marked in red, indicating they are required information.After the name has been entered, save changes by going up to the Edit menu and choosing Save Record. An alert will appear, asking if the patient is the same as the Primary.",501
